,time_start,time_peak,time_end,nar,xray_class
239,2021-06-28 21:42:00.0,2021-06-28 21:50:00.0,2021-06-28 22:22:00.0,12835,B5.5
240,2011-08-01 16:51:00.0,2011-08-01 17:06:00.0,2011-08-01 17:11:00.0,11261,C1.3
241,2013-01-04 08:22:00.0,2013-01-04 09:18:00.0,2013-01-04 10:34:00.0,11639,C1.3
242,2017-09-04 12:12:00.0,2017-09-04 12:25:00.0,2017-09-04 12:33:00.0,12673,C8.3
243,2015-04-24 19:05:00.0,2015-04-24 19:27:00.0,2015-04-24 19:40:00.0,12324,C1.7
244,2015-06-28 02:21:00.0,2015-06-28 02:25:00.0,2015-06-28 02:28:00.0,12371,B7.9
245,2017-08-15 09:58:00.0,2017-08-15 10:05:00.0,2017-08-15 10:12:00.0,12671,B4.1
246,2014-08-23 07:04:00.0,2014-08-23 07:47:00.0,2014-08-23 07:56:00.0,12148,C1.4
247,2012-11-19 02:20:00.0,2012-11-19 02:28:00.0,2012-11-19 02:31:00.0,11618,C7.0
248,2016-02-22 16:27:00.0,2016-02-22 16:31:00.0,2016-02-22 16:33:00.0,12505,B4.0
249,2011-04-13 20:06:00.0,2011-04-13 20:09:00.0,2011-04-13 20:11:00.0,11193,B9.1
250,2017-09-07 20:54:00.0,2017-09-07 20:57:00.0,2017-09-07 20:59:00.0,12673,C2.5
251,2021-07-21 10:54:00.0,2021-07-21 11:00:00.0,2021-07-21 11:07:00.0,12847,B5.9
