,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
81,0.649720781,0.660875844,0.344029405,0.566018288,0.522062928,0.587435637,0.765377519,,,,,,,,,,,,,,,,,,,,
82,0.66722251,0.635589467,0.358348968,0.559950573,0.481146368,0.675299978,0.790864868,,,,,,,,,,,,,,,,,,,,
83,0.666932377,0.677257312,0.30962787,0.424981645,0.424956886,0.662690475,0.79900202,,,,,,,,,,,,,,,,,,,,
84,0.738645642,0.681114228,0.315147943,0.542147374,0.519186993,0.672548924,0.900548572,,,,,,,,,,,,,,,,,,,,
85,0.846590957,0.667212597,0.339652702,0.325348143,0.453477933,0.687952547,0.901539892,,,,,,,,,,,,,,,,,,,,
86,0.733649204,0.641351624,0.326818567,0.359705674,0.479481919,0.67125427,0.904893296,,,,,,,,,,,,,,,,,,,,
87,0.736339582,0.629466799,0.28583079,0.410079906,0.586736935,0.703715484,0.902399482,,,,,,,,,,,,,,,,,,,,
88,0.907094571,0.613365343,0.255339276,0.373429985,0.543376284,0.75681352,0.958121437,,,,,,,,,,,,,,,,,,,,
89,1,0.583756235,0.274276476,0.335896179,0.415711753,0.731125664,0.9643884,,,,,,,,,,,,,,,,,,,,
90,0.853474257,0.570518833,0.23902351,0.398330582,0.446456721,0.749680055,0.903441286,,,,,,,,,,,,,,,,,,,,
91,0.84701392,0.538324092,0.234235508,0.346784407,0.682523243,0.719469432,0.892008199,,,,,,,,,,,,,,,,,,,,
92,0.722249586,0.467389407,0.214774423,0.308019775,0.53979498,0.742181303,0.879693515,,,,,,,,,,,,,,,,,,,,
93,0.669508948,0.441915442,0.210088233,0.255008021,0.466057859,0.779027506,0.907319384,,,,,,,,,,,,,,,,,,,,
94,0.715533442,0.512551433,0.176789617,0.258733525,0.532183328,0.742665725,0.935029349,,,,,,,,,,,,,,,,,,,,
95,0.884357717,0.454184395,0.198521987,0.188968584,0.631353637,0.784318856,0.953458426,,,,,,,,,,,,,,,,,,,,
96,0.797334308,0.410830734,0.226123999,0.351972821,0.553433607,0.792365454,0.947678043,,,,,,,,,,,,,,,,,,,,
