,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
85,0.725807201,0.815573264,0.116925175,0.277162972,0.602932563,0.462407101,0.864809476,,,,,,,,,,,,,,,,,,,,
86,0.66057422,0.883930519,0.201504453,0.310407307,0.607658778,0.434403303,0.906025116,,,,,,,,,,,,,,,,,,,,
87,0.712693104,0.892972848,0.232589559,0.234700096,0.617619732,0.520835078,0.963210761,,,,,,,,,,,,,,,,,,,,
88,0.723799459,1,0.232653334,0.196175684,0.62383318,0.565780454,0.980241883,,,,,,,,,,,,,,,,,,,,
89,0.747918175,0.911658434,0.1734628,0.21336811,0.615065742,0.468245487,0.97922277,,,,,,,,,,,,,,,,,,,,
90,0.716705005,0.901575129,0.298077494,0.171473398,0.587483664,0.692100325,0.921577993,,,,,,,,,,,,,,,,,,,,
91,0.708421418,0.73792756,0.265906742,0.124949903,0.583553904,0.797513899,0.914242139,,,,,,,,,,,,,,,,,,,,
92,0.755258026,0.743799737,0.277488329,0.084304402,0.526099281,0.476738898,0.897214977,,,,,,,,,,,,,,,,,,,,
93,0.768234248,0.735618466,0.247301074,0.088182284,0.503341251,0.631584962,0.915126848,,,,,,,,,,,,,,,,,,,,
94,0.732716464,0.746541121,0.242428652,0.078955791,0.546652616,0.4849835,0.960478923,,,,,,,,,,,,,,,,,,,,
95,0.743900834,0.770398866,0.229467165,0.097208688,0.49296284,0.577106865,0.990784977,,,,,,,,,,,,,,,,,,,,
96,0.737366184,0.798046972,0.383086067,0.135309449,0.471355375,0.430037304,0.963745737,,,,,,,,,,,,,,,,,,,,
97,0.814614605,0.808845401,0.277788486,0.121195615,0.471422104,0.314398562,0.967107251,,,,,,,,,,,,,,,,,,,,
98,0.827955702,0.797640321,0.325039588,0.14524653,0.479722474,0.23271564,0.950133787,,,,,,,,,,,,,,,,,,,,
99,0.876826335,0.757926776,0.439619652,0.127155009,0.413612733,0.287270452,0.941477146,,,,,,,,,,,,,,,,,,,,
100,0.825305002,0.926719458,0.173072678,0.151508636,0.38119827,0.309650088,0.956636264,,,,,,,,,,,,,,,,,,,,
101,0.87724531,0.90313409,0.311919997,0.156426047,0.395102247,0.311711206,0.984075021,,,,,,,,,,,,,,,,,,,,
102,0.898393131,0.927605818,0.315883436,0.109327267,0.342818221,0.271879798,0.998408646,,,,,,,,,,,,,,,,,,,,
103,0.895521814,0.930095274,0.180812905,0.148466649,0.298651127,0.079591213,1,,,,,,,,,,,,,,,,,,,,
104,0.901997543,0.974087801,0.271832231,0.027720174,0.280799758,0,0.929520433,,,,,,,,,,,,,,,,,,,,
105,0.932183592,0.963337094,0.27320128,0.083494087,0.301168341,0.188981525,0.88463675,,,,,,,,,,,,,,,,,,,,
106,0.906256561,0.915631589,0.277877072,0,0.1639251,0.056817946,0.832673064,,,,,,,,,,,,,,,,,,,,
